ID,ANO,SEMANA,SUB_REG_NT,RED,MICRORED,E_SALUD,UBIGEO,DAA_C1,DAA_C1_4,DAA_C5,DAA_C5_11,DAA_C12_17,DAA_C18_29,DAA_C30_59,DAA_C60,DAA_D1,DAA_D1_4,DAA_D5,DAA_D5_11,DAA_D12_17,DAA_D18_29,DAA_D30_59,DAA_D60,DAA_H1,DAA_H1_4,DAA_H5,DAA_H5_11,DAA_H12_17,DAA_H18_29,DAA_H30_59,DAA_H60,DIS_C1,DIS_C1_4,DIS_C5,DIS_C5_11,DIS_C12_17,DIS_C18_29,DIS_C30_59,DIS_C60,DIS_D1,DIS_D1_4,DIS_D5,DIS_D5_11,DIS_D12_17,DIS_D18_29,DIS_D30_59,DIS_D60,DIS_H1,DIS_H1_4,DIS_H5,DIS_H5_11,DIS_H12_17,DIS_H18_29,DIS_H30_59,DIS_H60,FECHA_ING,ETNIAPROC,ETNIAS,PROCEDE,OTROPROC,USUARIO_REG
303934,2000,1,52,5,0,150107A201,150107,1,3,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303937,2000,1,52,5,0,150107A201,150118,0,1,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303928,2000,2,52,5,0,150107A201,150107,1,1,4,,,,,,0,0,0,,,,,,0,0,0,,,,,,1,1,2,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303931,2000,2,52,5,0,150107A201,150118,0,1,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303574,2000,3,52,5,0,150107A201,150107,0,1,3,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303925,2000,3,52,5,0,150107A201,150118,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303577,2000,4,52,5,0,150107A201,150107,1,4,5,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,1,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303580,2000,4,52,5,0,150107A201,150118,0,2,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303583,2000,5,52,5,0,150107A201,150107,1,1,11,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303586,2000,5,52,5,0,150107A201,150118,0,1,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303589,2000,5,52,5,0,150107A201,150103,0,1,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303592,2000,6,52,5,0,150107A201,150107,1,1,6,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,1,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303595,2000,6,52,5,0,150107A201,150118,0,0,2,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303598,2000,7,52,5,0,150107A201,150107,2,3,5,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303601,2000,7,52,5,0,150107A201,150118,0,1,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303604,2000,8,52,5,0,150107A201,150107,3,1,5,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303607,2000,8,52,5,0,150107A201,150118,0,1,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303610,2000,8,52,5,0,150107A201,150103,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,1,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303613,2000,9,52,5,0,150107A201,150107,1,2,6,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303616,2000,9,52,5,0,150107A201,150118,1,2,2,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303619,2000,9,52,5,0,150107A201,150136,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303622,2000,10,52,5,0,150107A201,150107,0,2,15,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303625,2000,10,52,5,0,150107A201,150118,2,1,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
303628,2000,10,52,5,0,150107A201,150137,0,0,1,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,0,0,0,,,,,,,,,,,
