ID,ANO,SEMANA,SUB_REG_NT,RED,MICRORED,E_SALUD,UBIGEO,IRA_M2,IRA_2_11,IRA_1_4A,IRA_5_9A,IRA_10_19A,IRA_20_59A,IRA_60A,NEU_2_11,NEU_1_4A,NEU_5_9A,NEU_10_19,NEU_20_59,NEU_60A,HOS_M2,HOS_2_11,HOS_1_4A,HOS_5_9A,HOS_10_19,HOS_20_59,HOS_60A,NGR_M2,NGR_2_11,NGR_1_4A,NGR_5_9A,NGR_60A,DIH_M2,DIH_2_11,DIH_1_4A,DIH_5_9A,DIH_10_19,DIH_20_59,DIH_60A,DEH_M2,DEH_2_11,DEH_1_4A,DEH_5_9A,DEH_10_19,DEH_20_59,DEH_60A,SOB_2A,SOB_2_4A,SOB_5_9A,SOB_10_19A,SOB_20_59A,SOB_60A,FECHA_ING,ETNIAPROC,ETNIAS,PROCEDE,OTROPROC,USUARIO_REG
344362,2000,1,52,5,0,150107A201,150107,2,8,36,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0.0,,,0,02/01/2001,,,,,
344617,2000,2,52,5,0,150107A201,150107,0,2,21,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0.0,,,0,30/12/2000,,,,,
344884,2000,3,52,5,0,150107A201,150107,3,2,11,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,0,29/12/2000,,,,,
345175,2000,4,52,5,0,150107A201,150107,4,4,19,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.0,,,0,,,,,,
345451,2000,5,52,5,0,150107A201,150107,2,6,28,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,,,0,,,,,,
345709,2000,6,52,5,0,150107A201,150107,2,7,16,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.0,,,0,,,,,,
345997,2000,7,52,5,0,150107A201,150107,0,2,28,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.0,,,0,,,,,,
346261,2000,8,52,5,0,150107A201,150107,2,1,33,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,,,0,,,,,,
346525,2000,9,52,5,0,150107A201,150107,2,5,14,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0.0,,,0,,,,,,
346795,2000,10,52,5,0,150107A201,150107,3,4,17,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0.0,,,0,,,,,,
